paper_id,title,doi,alloy_system,has_composition,has_process,has_microstructure,has_property
P110,Grain gradient in the heat-affected zone acquires an advancement in the ductility of flash-butt welded IN718 alloy,10.1016/j.jmrt.2024.10.100,Ti-based,,,,
P111,Heat treatment behaviour of IN718 superalloy fabricated by laser-powder bed fusion,10.1016/j.matchar.2023.112788,Unknown,,,,
P112,Identification of an affordable and printable metastable β Ti alloy with outstanding deformation behaviour for use in laser powder bed fusion,10.1016/j.msea.2024.146619,Ti-based,,,,
P113,Impact of IN718 bimodal powder size distribution on the performance and productivity of laser powder bed fusion additive manufacturing process,10.1016/j.powtec.2020.07.092,Ti-based,,,,
P114,Impact of high temperature stress relieving on final properties of Inconel 718 processed by laser powder bed fusion,10.1016/j.msea.2021.141111,Ti-based,,,,
P115,Improved plasticity of Inconel 718 superalloy fabricated by selective laser melting through a novel heat treatment process,10.1016/j.matdes.2019.107915,Ti-based,,,,
P116,Improving microstructural and mechanical characteristics of cold-sprayed Inconel 718 deposits via local induction heat treatment,10.1016/j.jallcom.2019.05.099,Ti-based,,,,
P117,Inconel 718 fabricated ceitalicviaceitalic arc-based directed energy deposition assisted with ceitalicin situceitalic interlayer hot forging,10.1016/j.msea.2025.149269,Ti-based,,,,
P118,Independent effects of laser power and scanning speed on IN718s precipitation and mechanical properties produced by LBPF plus heat treatment,10.1016/j.msea.2022.143530,Ti-based,,,,
P119,Influence of annealing on microstructure and mechanical properties of ultrafine-grained Ti45Nb,10.1016/j.matdes.2019.107864,Ti-based,,,,
P120,Influence of heat treatment on the fatigue resistance of Inconel 718 fabricated by selective laser melting SLM,10.1016/j.matpr.2021.02.447,Ti-based,,,,
P121,Influence of heat treatment on the high temperature properties of Inconel 718 fabricated via Laser Beam Powder Bed Fusion,10.1016/j.jmrt.2025.05.140,Ti-based,,,,
P122,Influence of laser beam shape and post heat-treatment on the microstructure and mechanical properties of nickel-based alloy IN718 manufactured by laser powder bed fusion,10.1016/j.jmrt.2025.06.119,Ti-based,,,,
P123,Influence of molten-pool cooling rate on solidification structure and mechanical property of laser additive manufactured Inconel 718,10.1016/j.jmrt.2022.06.162,Ti-based,,,,
P124,Influence of reduced carbon content on microstructure and mechanical behavior of Inconel 718 prepared by laser powder bed fusion,10.1016/j.addlet.2022.100037,Unknown,,,,
P125,Influence of remelting sequence on defect generation and high-temperature mechanical properties in laser powder bed fusion of IN718 alloys,10.1016/j.addma.2025.104854,Ti-based,,,,
P126,Influence of solution heat treatment on microstructure and tensile properties of Inconel 718 formed by high-deposition-rate laser metal deposition,10.1016/j.jallcom.2017.11.004,Ti-based,,,,
P127,Influence of stress on γ precipitation behavior in Inconel 718 during aging,10.1016/j.jallcom.2018.01.030,Ti-based,,,,
P128,Laser powder bed fusion of a β titanium alloy Microstructural development post-processing and mechanical behaviour,10.1016/j.msea.2024.146617,Ti-based,,,,
P129,Microsegregation behavior of Inconel 718 superalloy prepared by electron beam smelting layered solidification technology,10.1016/j.jallcom.2020.155019,Ti-based,,,,
P130,Microstructural Evolution and High-Temperature Deformation Behavior of Wire Arc Additively Manufactured Inconel 718 Forging Preforms Toward a Hybrid AdditiveForging Process,10.1016/j.jmrt.2025.12.213,Ti-based,,,,
P131,Microstructural and mechanical properties of high-performance Inconel 718 alloy by cold spraying,10.1016/j.jallcom.2019.04.045,Ti-based,,,,
P132,Microstructural control of LPBF Inconel 718 through post processing of intentionally placed AM discontinuity distributions,10.1016/j.mtla.2024.102163,Ti-based,,,,
P133,Microstructural evolution and hot tensile deformation behaviors below δ-solvus temperature of IN718 alloy fabricated by plasma arc additive manufacturing,10.1016/j.jmrt.2024.08.055,Ti-based,,,,
P134,Microstructural evolution and mechanical properties of IN718 alloy fabricated by selective laser melting following different heat treatments,10.1016/j.jallcom.2018.09.200,Ti-based,,,,
P135,Microstructural evolution and mechanical properties of brazed IN718 ultrathin-walled capillary structure using different particulate reinforced filler alloy,10.1016/j.cja.2021.03.001,Ti-based,,,,
P136,Microstructural heterogeneity and anisotropic mechanical propertiers of titanium alloys manufactured by wire arc additive manufacturing A review,10.1016/j.jmrt.2025.05.106,Ti-based,,,,
P137,Microstructure Evolution mechanical Properties and biological Response of Ti-Nb-Zr-Ta TNZThBN metal matrix composites processed via spark plasma sintering SPS,10.1016/j.matdes.2025.115103,Ti-based,,,,
P138,Microstructure and geometry effects on the compressive behavior of LPBF-manufactured inconel 718 honeycomb structures,10.1016/j.jmrt.2023.03.093,Unknown,,,,
P139,Microstructure and machinability evaluation in micro milling of selective laser melted Inconel 718 alloy,10.1016/j.jmrt.2021.06.081,Ti-based,,,,
P140,Microstructure and mechanical properties of the TiN particles reinforced IN718C composite,10.1016/j.jallcom.2018.05.096,Ti-based,,,,
P141,Microstructure and tensile fracture behavior of three-stage heat treated inconel 718 alloy produced via laser powder bed fusion process,10.1016/j.jmrt.2020.01.030,Unknown,,,,
P142,Microstructure and tensile properties of IN718 superalloy aged with temperaturestress coupled field,10.1016/j.jmrt.2023.02.124,Ti-based,,,,
P143,Microstructure and wear resistance of Inconel 718 alloy coating repaired by microwave heating remanufacturing,10.1016/j.matdes.2025.115288,Ti-based,,,,
P144,Microstructure evolution and mechanical properties of a hot-rolled Ti alloy,10.1016/j.pnsc.2020.11.007,Ti-based,,,,
P145,Microstructure evolution and mechanical property response of TC11 titanium alloy under electroshock treatment,10.1016/j.matdes.2020.109322,Ti-based,,,,
P146,Microstructure homogenization of laser powder bed fusion support-free low angle IN718 walls through heat treatment,10.1016/j.addlet.2025.100312,Ti-based,,,,
P147,Microstructure precipitates and mechanical properties of powder bed fused inconel 718 before and after heat treatment,10.1016/j.jmst.2018.12.006,Ti-based,,,,
P148,Microstructure-based modelling of the anisotropic creep behaviour in additively manufactured Inconel 718,10.1016/j.msea.2025.149029,Ti-based,,,,
P149,Microstructures and stress rupture properties of pulse laser repaired Inconel 718 superalloy after different heat treatments,10.1016/j.jallcom.2018.08.063,Ti-based,,,,
P150,New insights into the effect of heat-treatment on the machinability and tool wear in machining of additively manufactured metastable β-Ti Alloy Beta-C Ti-3Al-8V-6Cr-4Mo-4Zr,10.1016/j.triboint.2025.111033,Ti-based,,,,
P151,Novel bainitic Ti alloys designed for additive manufacturing,10.1016/j.matdes.2024.113176,Ti-based,,,,
P152,Oxidation behaviors in additive manufacturing titanium alloys via multi-eutectoid elements alloying,10.1016/j.jmrt.2025.03.148,Ti-based,,,,
P153,Phase transformation in titanium alloys A review,10.1016/S1003-6326(24)66597-0,Ti-based,,,,
P154,Precipitation kinetics in cryogenic-rolled TLM titanium alloy during isothermal aging treatment,10.1016/j.jmrt.2025.10.258,Ti-based,,,,
P155,Recrystallization and grain growth kinetics of IN718 manufactured by laser powder bed fusion,10.1016/j.jmrt.2022.06.157,Ti-based,,,,
P156,SLM process parameters effects on the fatigue strength of AMed Inconel 718,10.3390/met10091180,Ti-based,,,,
P157,Silicide precipitation behavior of Si-containing near-ceitalicβceitalic titanium alloy and its effect on grain refinement,10.1016/S1003-6326(25)66784-7,Ti-based,,,,
P158,Simultaneous improvement of strength and ductility in near β Ti alloy with α  β hybrid structure via intermediate phases transformation,10.1016/j.jmrt.2024.03.232,Ti-based,,,,
P159,Study of pre-precipitated δ phase promoting deformation twinning and recrystallization behavior of Inconel 718 superalloy during hot compression,10.1016/j.matdes.2023.111693,Ti-based,,,,
P160,Study of residual stress and microstructural evolution in as-deposited and inter-pass rolled wire plus arc additively manufactured Inconel 718 alloy after ageing treatment,10.1016/j.msea.2020.140368,Ti-based,,,,
P161,Study on fatigue damage in additively manufactured IN718 alloy,10.1016/j.msea.2017.12.043,Ti-based,,,,
P162,Study on location-related thermal cycles and microstructure variation of additively manufactured inconel 718,10.1016/j.jmrt.2022.03.178,Ti-based,,,,
P163,Tailoring microstructure tensile properties and creep resistance of additively manufactured Inconel 718 superalloy by post heat treatment,10.1016/S1003-6326(25)66789-6,Ti-based,,,,
P164,Tailoring the strength of inconel 718 Insights into LPBF parameters and heat treatment synergy,10.1016/j.matdes.2025.113627,Unknown,,,,
P165,The effect of Co additions on the microstructure and mechanical properties of solute lean   β Ti alloys,10.1016/j.msea.2025.149489,Ti-based,,,,
P166,The effect of energy density on texture and mechanical anisotropy in selective laser melted Inconel 718,10.1016/j.matdes.2020.108642,Ti-based,,,,
P167,The effect of forging texture and machining parameters on the fatigue performance of titanium alloy disc components,10.1016/j.ijfatigue.2020.105949,Ti-based,,,,
P168,The effect of heat treatment on the electrochemical properties of additive manufactured TC4 titanium alloy,10.1016/j.ijoes.2025.101007,Ti-based,,,,
P169,The effect of laser focus shift on microstructural variation of Inconel 718 produced by selective laser melting,10.1016/j.matdes.2018.04.019,Ti-based,,,,
P170,The effect of processing parameters on rapid-heating β recrystallization in inter-pass deformed Ti-6Al-4V wire-arc additive manufacturing,10.1016/j.matchar.2020.110298,Ti-based,,,,
P171,The effects of forging strategies on microstructures and mechanical properties of a Ti5Al5Mo5V1Cr1Fe near β-titanium alloy,10.1016/j.jmrt.2024.08.174,Ti-based,,,,
P172,The influence of the manufacturing process conditions on the in-vitro bio-performance of Titanium alloys,10.1016/j.procir.2022.06.071,Ti-based,,,,
P173,The intricacies of α-β microstructures in titanium alloys Insights into α-phase variant spatial distribution and orientation,10.1016/j.scriptamat.2025.116690,Ti-based,,,,
P174,The possibility of using laser surface engineered titanium alloy implants as a treatment for cardiovascular diseases,10.1016/j.bea.2024.100131,Ti-based,,,,
P175,Titanium-Based alloys and composites for orthopedic implants Applications A comprehensive review,10.1016/j.matdes.2024.112850,Ti-based,,,,
P176,Towards load-bearing biomedical titanium-based alloys From essential requirements to future developments,10.1016/j.pmatsci.2024.101277,Ti-based,,,,
P177,ceitalicIn situceitalic characterization of a high work hardening Ti-6Al-4V prepared by electron beam melting,10.1016/j.actamat.2019.08.037,Ti-based,,,,
P178,ceitalicαceitalic martensite engineering A strategy to achieve high yield strength and low yield ratio synergy for dual-phase titanium alloy,10.1016/j.matdes.2024.112764,Ti-based,,,,
P179,A study of fatigue notch sensibility on titanium alloy TiAl6V4 parts manufactured by selective laser melting,10.1016/j.prostr.2018.12.186,Ti-based,,,,
P180,Alpha-case kinetics and high temperature plasticity of Ti-6Al-4V alloy oxidized in different phase regions,10.1016/j.proeng.2017.10.973,Ti-based,,,,
P181,Analysis of microstructure in electro-spark deposited IN718 superalloy,10.1016/j.matchar.2016.07.025,Unknown,,,,
P182,Cooling rate effect on tensile strength of laser deposited Inconel 718,10.1016/j.promfg.2018.07.118,Unknown,,,,
P183,Crack growth in titanium alloy under ultrasonic loading,10.1016/j.prostr.2018.12.291,Ti-based,,,,
P184,Crystallographic texture control of beta-type Ti15Mo5Zr3Al alloy by selective laser melting for the development of novel implants with a biocompatible low Youngs modulus,10.1016/j.scriptamat.2016.12.038,Ti-based,,,,
P185,Deformation and fracture of a titanium alloy during penetration of high-speed impactor to the target,10.1016/j.prostr.2020.10.013,Ti-based,,,,
P186,Effect of Heat Treatment on Microstructure and Properties of Ti-6Al-4V-05Si alloy,10.14264/uql.2018.336,Ti-based,,,,
P187,Effect of base metal and welding speed on fusion zone microstructure and HAZ hot-cracking of electron-beam welded Inconel 718,10.1016/j.matdes.2015.10.082,Unknown,,,,
P188,Effects of processing routes on room temperature tensile strength and elongation for Inconel 718,10.1016/j.matdes.2017.01.069,Ti-based,,,,
P189,Effects of thermal cycles on the microstructure evolution of Inconel 718 during selective laser melting process,10.1016/j.addma.2017.08.016,Ti-based,,,,
P190,Fatigue behavior of IN718 microtrusses produced via additive manufacturing,10.1016/j.matdes.2016.05.032,Ti-based,,,,
P191,Feasibility of in situ controlled heat treatment ISHT of Inconel 718 during electron beam melting additive manufacturing,10.1016/j.addma.2016.09.001,Ti-based,,,,
